Item No.,Description,Current Unit Cost (LCY),Item Replenishment System,Base Unit of Measure,Production BOM No.,Status,Type,No.,Description1,Quantity per,BOM Unit of Measure Code,Line Item Replenishment System,BOM Unit Cost (LCY)
1234,BSEN SHEET CODE 5 (2.24MM) 6000MM X 600MM,182.00,Purchase,EA,1234,Certified,Item,2083,BSEN BLOCK,91.,KG,Purchase,0.00
1235,BSEN SHEET CODE 5 (2.24MM) 6000MM X 60MM,17.37,Prod. Order,EA,1235,Certified,Item,1017,BSEN SHEET CODE 5 (2.24MM) 6000MM X 1600MM,0.03846,EA,Purchase,463.78
1236,BSEN SHEET CODE 6 (2.65MM) 1600MM X 590MM,56.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1237,BSEN SHEET CODE 6 (2.65MM) 1990MM X 590MM,69.51,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1238,BSEN SHEET CODE 6 (2.65MM) 2000MM X 600MM,71.06,Purchase,EA,1238,Certified,Item,2083,BSEN BLOCK,36.,KG,Purchase,0.00
1239,BSEN SHEET CODE 6 (2.65MM) 2390MM X 590MM,79.87,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1240,BSEN SHEET CODE 6 (2.65MM) 2400MM X 428MM,61.35,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1241,BSEN SHEET CODE 6 (2.65MM) 2400MM X 460MM,66.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1242,BSEN SHEET CODE 6 (2.65MM) 6000MM X 150MM,52.73,Purchase,EA,1242,Certified,Item,2083,BSEN BLOCK,27.,KG,Purchase,0.00
1243,BSEN SHEET CODE 6 (2.65MM) 6000MM X 1600MM,565.69,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1244,BSEN SHEET CODE 6 (2.65MM) 6000MM X 60MM,29.18,Purchase,EA,1244,Certified,Item,1243,BSEN SHEET CODE 6 (2.65MM) 6000MM X 1600MM,0.03846,EA,Purchase,565.69
1245,BSEN SHEET CODE 7 (3.15MM) 1190MM X 590MM,50.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1246,BSEN SHEET CODE 7 (3.15MM) 2000MM X 600MM,86.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1247,BSEN SHEET CODE 8 (3.55MM) 1990MM X 590MM,94.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1248,BSEN SHEET CODE 8 (3.55MM) 2000MM X 600MM,96.00,Purchase,EA,1248,Certified,Item,2083,BSEN BLOCK,48.,KG,Purchase,0.00
1249,BSEN SHEET CODE 8 (3.55MM) 2390MM X 590MM,114.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1250,BSEN SHEET CODE 8 (3.55MM) 6000MM X 150MM,72.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1251,BSEN SHEET CODE 8 (3.55MM) 6000MM X 1600MM,772.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1252,BSEN SHEET CODE 8 (3.55MM) 6000MM X 60MM,30.00,Prod. Order,EA,1252,Certified,Item,1251,BSEN SHEET CODE 8 (3.55MM) 6000MM X 1600MM,0.04,EA,Purchase,772.00
1253,COPPER SCRAP,5.81,Prod. Order,KG,1253,Certified, ,,,0.,,Purchase,0.00
1254,CU 34X19X1510 CHUQUICAMATA,84.08,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1255,CU 38X19X1233 OUTOTEC FLORENCE 5566,84.31,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1256,CU 38X19X1355 KENNECOTT,87.18,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1257,CU 38X19X1414 ZALDIVAR,58.95,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1258,CU 38X30X1275 UMICORE,94.84,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1259,CU 40X19X1390 CHIYODA DRG.3522REV3,98.26,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1260,CU 40X20X1258 EW2,59.63,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1261,CU 40X20X1365 ATLANTIC 3441,120.86,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1262,CU 40X20X1448 MASKEW 5564,103.58,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1263,CU 40X35X1365 ATLANTIC 3482,207.24,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1264,CU 45X18X1375 MIMBULA 5587,96.55,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1265,CU 50X20X1208 BOLIDEN,104.47,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1266,CU 50X30X1412 AURUBIS,176.99,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1267,DWG NO. 1022650-1 STANDARD PANEL - BONDED 18MM PLYWOOD 7.0MM X 1000MM X 750MM,107.50,Prod. Order,EA,1267,Under Development,Item,1571,FLAT LEAD SHEET CHEMB 7.0MM X 995MM X 745MM,1.,EA,Purchase,0.00
1267,DWG NO. 1022650-1 STANDARD PANEL - BONDED 18MM PLYWOOD 7.0MM X 1000MM X 750MM,107.50,Prod. Order,EA,1267,Under Development,Item,1570,PLYWOOD 18MM X 1000MM X 750MM,1.,EA,Purchase,0.00
1267,DWG NO. 1022650-1 STANDARD PANEL - BONDED 18MM PLYWOOD 7.0MM X 1000MM X 750MM,107.50,Prod. Order,EA,1267,Under Development,Item,1571,FLAT LEAD SHEET CHEMB 7.0MM X 995MM X 745MM,1.,EA,Purchase,0.00
1268,DWG NO. 1022650-2 LABYRINTH PANEL - BONDED 18MM PLYWOOD 7.0MM X 1000MM X 750MM,111.40,Prod. Order,EA,1268,Under Development,Item,1572,FLAT LEAD SHEET CHEMB 7.0MM X 1200MM X 1000MM,1.,EA,Purchase,0.00
1268,DWG NO. 1022650-2 LABYRINTH PANEL - BONDED 18MM PLYWOOD 7.0MM X 1000MM X 750MM,111.40,Prod. Order,EA,1268,Under Development,Item,1321,PLYWOOD 18MM X 1200MM X 1000MM,1.,EA,Purchase,12.75
1268,DWG NO. 1022650-2 LABYRINTH PANEL - BONDED 18MM PLYWOOD 7.0MM X 1000MM X 750MM,111.40,Prod. Order,EA,1268,Under Development,Item,1572,FLAT LEAD SHEET CHEMB 7.0MM X 1200MM X 1000MM,1.,EA,Purchase,0.00
1269,DWG NO. 1022650-3 STANDARD PANEL PORTAL SIDE - BONDED 18MM PLYWOOD 7.0MM X 1000MM X 630MM,91.93,Prod. Order,EA,1269,Under Development,Item,1584,FLAT LEAD SHEET CHEMB 7.0MM X 995MM X 625MM,1.,EA,Purchase,0.00
1269,DWG NO. 1022650-3 STANDARD PANEL PORTAL SIDE - BONDED 18MM PLYWOOD 7.0MM X 1000MM X 630MM,91.93,Prod. Order,EA,1269,Under Development,Item,1583,PLYWOOD 18MM X 1000MM X 630MM,1.,EA,Purchase,0.00
1269,DWG NO. 1022650-3 STANDARD PANEL PORTAL SIDE - BONDED 18MM PLYWOOD 7.0MM X 1000MM X 630MM,91.93,Prod. Order,EA,1269,Under Development,Item,1584,FLAT LEAD SHEET CHEMB 7.0MM X 995MM X 625MM,1.,EA,Purchase,0.00
1270,DWG NO. 1022650-4 STANDARD PANEL PORTAL TOP - BONDED 18MM PLYWOOD 7.0MM X 876MM X 750MM,98.20,Prod. Order,EA,1270,Under Development,Item,1582,FLAT LEAD SHEET CHEMB 7.0MM X 871MM X 745MM,1.,EA,Purchase,0.00
1270,DWG NO. 1022650-4 STANDARD PANEL PORTAL TOP - BONDED 18MM PLYWOOD 7.0MM X 876MM X 750MM,98.20,Prod. Order,EA,1270,Under Development,Item,1581,PLYWOOD 18MM X 876MM X 750MM,1.,EA,Purchase,0.00
1270,DWG NO. 1022650-4 STANDARD PANEL PORTAL TOP - BONDED 18MM PLYWOOD 7.0MM X 876MM X 750MM,98.20,Prod. Order,EA,1270,Under Development,Item,1582,FLAT LEAD SHEET CHEMB 7.0MM X 871MM X 745MM,1.,EA,Purchase,0.00
1271,DWG NO. 1022652-1 VERTICAL OVERLAP-A-REV B - BONDED 25MM PLYWOOD 25.0MM X 2000MM X 100MM FULL COVERA,146.90,Prod. Order,EA,1271,Under Development,Item,1577,FLAT LEAD SHEET CHEMB 5.0MM X 2000MM X 525MM,1.,EA,Purchase,0.00
